StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
str-msn2700-01,Ethernet0,str-7260-10,Ethernet1,40000,1681,Access
str-msn2700-01,Ethernet4,str-7260-10,Ethernet2,40000,1682,Access
str-msn2700-01,Ethernet8,str-7260-10,Ethernet3,40000,1683,Access
str-msn2700-01,Ethernet12,str-7260-10,Ethernet4,40000,1684,Access
str-msn2700-01,Ethernet16,str-7260-10,Ethernet5,40000,1685,Access
str-msn2700-01,Ethernet20,str-7260-10,Ethernet6,40000,1686,Access
str-msn2700-01,Ethernet24,str-7260-10,Ethernet7,40000,1687,Access
str-msn2700-01,Ethernet28,str-7260-10,Ethernet8,40000,1688,Access
str-msn2700-01,Ethernet32,str-7260-10,Ethernet9,40000,1689,Access
str-msn2700-01,Ethernet36,str-7260-10,Ethernet10,40000,1690,Access
str-msn2700-01,Ethernet40,str-7260-10,Ethernet11,40000,1691,Access
str-msn2700-01,Ethernet44,str-7260-10,Ethernet12,40000,1692,Access
str-msn2700-01,Ethernet48,str-7260-10,Ethernet13,40000,1693,Access
str-msn2700-01,Ethernet52,str-7260-10,Ethernet14,40000,1694,Access
str-msn2700-01,Ethernet56,str-7260-10,Ethernet15,40000,1695,Access
str-msn2700-01,Ethernet60,str-7260-10,Ethernet16,40000,1696,Access
str-msn2700-01,Ethernet64,str-7260-10,Ethernet17,40000,1697,Access
str-msn2700-01,Ethernet68,str-7260-10,Ethernet18,40000,1698,Access
str-msn2700-01,Ethernet72,str-7260-10,Ethernet19,40000,1699,Access
str-msn2700-01,Ethernet76,str-7260-10,Ethernet20,40000,1700,Access
str-msn2700-01,Ethernet80,str-7260-10,Ethernet21,40000,1701,Access
str-msn2700-01,Ethernet84,str-7260-10,Ethernet22,40000,1702,Access
str-msn2700-01,Ethernet88,str-7260-10,Ethernet23,40000,1703,Access
str-msn2700-01,Ethernet92,str-7260-10,Ethernet24,40000,1704,Access
str-msn2700-01,Ethernet96,str-7260-10,Ethernet25,40000,1705,Access
str-msn2700-01,Ethernet100,str-7260-10,Ethernet26,40000,1706,Access
str-msn2700-01,Ethernet104,str-7260-10,Ethernet27,40000,1707,Access
str-msn2700-01,Ethernet108,str-7260-10,Ethernet28,40000,1708,Access
str-msn2700-01,Ethernet112,str-7260-10,Ethernet29,40000,1709,Access
str-msn2700-01,Ethernet116,str-7260-10,Ethernet30,40000,1710,Access
str-msn2700-01,Ethernet120,str-7260-10,Ethernet31,40000,1711,Access
str-msn2700-01,Ethernet124,str-7260-10,Ethernet32,40000,1712,Access
str-7260-11,Ethernet19,str-acs-serv-01,p4p1,40000,,Trunk
str-7260-11,Ethernet30,str-7260-10,Ethernet64,40000,1681-1712,Trunk

r-anaconda-81,Ethernet0,arc-switch1039,Ethernet1,40000,1681,Access
r-anaconda-81,Ethernet4,arc-switch1039,Ethernet2,40000,1682,Access
r-anaconda-81,Ethernet8,arc-switch1039,Ethernet3,40000,1683,Access
r-anaconda-81,Ethernet12,arc-switch1039,Ethernet4,40000,1684,Access
r-anaconda-81,Ethernet16,arc-switch1039,Ethernet5,40000,1685,Access
r-anaconda-81,Ethernet20,arc-switch1039,Ethernet6,40000,1686,Access
r-anaconda-81,Ethernet24,arc-switch1039,Ethernet7,40000,1687,Access
r-anaconda-81,Ethernet28,arc-switch1039,Ethernet8,40000,1688,Access
r-anaconda-81,Ethernet32,arc-switch1039,Ethernet9,40000,1689,Access
r-anaconda-81,Ethernet36,arc-switch1039,Ethernet10,40000,1690,Access
r-anaconda-81,Ethernet40,arc-switch1039,Ethernet11,40000,1691,Access
r-anaconda-81,Ethernet44,arc-switch1039,Ethernet12,40000,1692,Access
r-anaconda-81,Ethernet48,arc-switch1039,Ethernet13,40000,1693,Access
r-anaconda-81,Ethernet52,arc-switch1039,Ethernet14,40000,1694,Access
r-anaconda-81,Ethernet56,arc-switch1039,Ethernet15,40000,1695,Access
r-anaconda-81,Ethernet60,arc-switch1039,Ethernet16,40000,1696,Access
r-anaconda-81,Ethernet64,arc-switch1039,Ethernet17,40000,1697,Access
r-anaconda-81,Ethernet68,arc-switch1039,Ethernet18,40000,1698,Access
r-anaconda-81,Ethernet72,arc-switch1039,Ethernet19,40000,1699,Access
r-anaconda-81,Ethernet76,arc-switch1039,Ethernet20,40000,1700,Access
r-anaconda-81,Ethernet80,arc-switch1039,Ethernet21,40000,1701,Access
r-anaconda-81,Ethernet84,arc-switch1039,Ethernet22,40000,1702,Access
r-anaconda-81,Ethernet88,arc-switch1039,Ethernet23,40000,1703,Access
r-anaconda-81,Ethernet92,arc-switch1039,Ethernet24,40000,1704,Access
r-anaconda-81,Ethernet96,arc-switch1039,Ethernet25,40000,1705,Access
r-anaconda-81,Ethernet100,arc-switch1039,Ethernet26,40000,1706,Access
r-anaconda-81,Ethernet104,arc-switch1039,Ethernet27,40000,1707,Access
r-anaconda-81,Ethernet108,arc-switch1039,Ethernet28,40000,1708,Access
r-anaconda-81,Ethernet112,arc-switch1039,Ethernet29,40000,1709,Access
r-anaconda-81,Ethernet116,arc-switch1039,Ethernet30,40000,1710,Access
r-anaconda-81,Ethernet120,arc-switch1039,Ethernet31,40000,1711,Access
r-anaconda-81,Ethernet124,arc-switch1039,Ethernet32,40000,1712,Access

arc-switch1038,Ethernet0,arc-switch1007,Ethernet1,100000,1681,Access
arc-switch1038,Ethernet4,arc-switch1007,Ethernet2,100000,1682,Access
arc-switch1038,Ethernet8,arc-switch1007,Ethernet3,100000,1683,Access
arc-switch1038,Ethernet12,arc-switch1007,Ethernet4,100000,1684,Access
arc-switch1038,Ethernet16,arc-switch1007,Ethernet5,100000,1685,Access
arc-switch1038,Ethernet20,arc-switch1007,Ethernet6,100000,1686,Access
arc-switch1038,Ethernet24,arc-switch1007,Ethernet7,100000,1687,Access
arc-switch1038,Ethernet28,arc-switch1007,Ethernet8,100000,1688,Access
arc-switch1038,Ethernet32,arc-switch1007,Ethernet9,100000,1689,Access
